seed,n_customers,ngroute_neighborhood_size,ngroute_neighborhood_depots_size,ngroute_neighborhood_charging_size,method,ngroute_alt,time_taken_first,time_taken_total,n_iterations,n_CG_iterations,sp_time_taken_mean_first,sp_time_taken_mean_last,LP_objective_first,LP_objective_last,IP_objective_first,IP_objective_last,LP_IP_gap_first,LP_IP_gap_last
9,16,4,small,medium,ours,true,3.465,3.483423792,1,9,0.381,0.381,660230.0,660230.0,660230.0,660230.0,0.0,0.0
9,16,4,small,medium,ours,false,6.799,6.816033625,1,9,0.7502222222222222,0.7502222222222222,660230.0,660230.0,660230.0,660230.0,0.0,0.0
10,16,4,small,medium,ours,true,47.42,47.454338333,1,17,2.783470588235294,2.783470588235294,712946.0,712946.0,713300.0,713300.0,0.04962848731249192,0.04962848731249192
10,16,4,small,medium,ours,false,125.06,125.1027435,1,14,8.927714285714284,8.927714285714284,712946.0,712946.0,713300.0,713300.0,0.04962848731249192,0.04962848731249192
11,16,4,small,medium,ours,true,8.53,8.551753917,1,12,0.7077500000000001,0.7077500000000001,647118.0,647118.0,647118.0,647118.0,0.0,0.0
11,16,4,small,medium,ours,false,25.147,25.173350958,1,16,1.5683125,1.5683125,647118.0,647118.0,647118.0,647118.0,0.0,0.0
12,16,4,small,medium,ours,true,6.907,6.921817583,1,16,0.4291875,0.4291875,580077.0,580077.0,580077.0,580077.0,0.0,0.0
12,16,4,small,medium,ours,false,20.802,20.817451542,1,19,1.0915263157894737,1.0915263157894737,580077.0,580077.0,580077.0,580077.0,0.0,0.0
13,16,4,small,medium,ours,true,3.335,3.354527667,1,10,0.32989999999999997,0.32989999999999997,756618.0,756618.0,761288.0,761288.0,0.6134340748836231,0.6134340748836231
13,16,4,small,medium,ours,false,6.405,6.425475458,1,10,0.6367,0.6367,756618.0,756618.0,761288.0,761288.0,0.6134340748836231,0.6134340748836231
14,16,4,small,medium,ours,true,3.655,4.707009792,2,13,0.3624,0.333,801308.0,802301.0,813790.0,813790.0,1.5338109340247486,1.4117892822472666
14,16,4,small,medium,ours,false,7.547,8.73789125,2,12,0.7492,0.5660000000000001,801308.0,802301.0,808150.0,808150.0,0.8466250077337145,0.7237517787539449
15,16,4,small,medium,ours,true,3.767,3.781321833,1,8,0.466625,0.466625,748454.0,748454.0,748454.0,748454.0,0.0,0.0
15,16,4,small,medium,ours,false,7.702,7.715441833,1,8,0.9587500000000001,0.9587500000000001,748454.0,748454.0,748454.0,748454.0,0.0,0.0
16,16,4,small,medium,ours,true,5.823,7.372573791,2,23,0.3208888888888889,0.29059999999999997,840765.0,840765.0,955230.0,844934.0,11.982977921547688,0.4934113197007095
16,16,4,small,medium,ours,false,12.994,14.758898292,2,23,0.6471000000000001,0.5646666666666668,840765.0,840765.0,960390.0,844934.0,12.45587729984694,0.4934113197007095
17,16,4,small,medium,ours,true,4.306,4.340629458,1,12,0.35591666666666666,0.35591666666666666,799980.0,799980.0,830000.0,830000.0,3.6168674698795145,3.6168674698795145
17,16,4,small,medium,ours,false,8.337,11.713065292,2,17,0.755,0.5539999999999999,789933.3333333334,799980.0,801710.0,801710.0,1.4689434666733114,0.21578875154357746
18,16,4,small,medium,ours,true,6.297,6.317987292,1,12,0.52175,0.52175,663967.0,663967.0,678737.0,678737.0,2.176100610398435,2.176100610398435
18,16,4,small,medium,ours,false,18.84,18.868681625,1,15,1.252333333333333,1.252333333333333,663967.0,663967.0,677437.0,677437.0,1.9883767789477091,1.9883767789477091
19,16,4,small,medium,ours,true,7.331,7.347535541,1,13,0.5586153846153846,0.5586153846153846,692192.0,692192.0,692192.0,692192.0,0.0,0.0
19,16,4,small,medium,ours,false,14.965,14.988383625,1,12,1.24275,1.24275,692192.0,692192.0,692192.0,692192.0,0.0,0.0
20,16,4,small,medium,ours,true,4.245,5.582635125,2,17,0.3231538461538461,0.32075,635136.0,636720.0,636720.0,636720.0,0.24877497173011465,0.0
20,16,4,small,medium,ours,false,10.44,14.667623584,2,21,0.7425714285714284,0.5957142857142858,635136.0,636720.0,636720.0,636720.0,0.24877497173011465,0.0
1,16,4,small,medium,benchmark,true,9.314,14.073438875,3,19,0.7714166666666665,0.633,660987.1666666667,674785.5,686313.0,686313.0,3.6901287507789093,1.6796272254787525
1,16,4,small,medium,benchmark,false,14.259,22.963700833,3,19,1.1824166666666667,1.1820000000000002,660987.1666666667,674785.5,686313.0,686313.0,3.6901287507789093,1.6796272254787525
2,16,4,small,medium,benchmark,true,6.15,6.160548917,1,10,0.6108999999999999,0.6108999999999999,935864.0,935864.0,935864.0,935864.0,0.0,0.0
